"","b_sal_code","ward16","pop96","pop01","pop11","House","Traditional","Flat","Cluster.house","Townhouse","Semi","House.in.backyard","BYS","Informal.dwelling.not.BYS","Flatlet","Caravan","Other","Unspecified","Not.applicable","pop_1996","pop_1997","pop_1998","pop_1999","pop_2000","pop_2001","pop_2002","pop_2003","pop_2004","pop_2005","pop_2006","pop_2007","pop_2008","pop_2009","pop_2010","pop_2011","pop_2012","pop_2013","pop_2014","pop_2015","pop_2016","pop_2017","pop_2018","pop_2019","pop_2020","pop_2021","pop_2022","pop_2023","pop_2024","pop_2025","pop_2026","pop_2027","pop_2028","pop_2029","pop_2030"
"2334",5992221,59500050,555.363822571158,706.261,669,99,6,57,0,0,3,0,3,0,0,0,3,0,0,555.363822571156,594.584734186463,629.284907737001,659.464343222769,685.123040643769,706.260999999999,722.87822129146,734.974704518152,742.550449680075,745.605456777229,744.139725809614,738.153256777229,727.646049680076,712.618104518153,693.069421291461,669,566.169325162734,576.281539744994,587.64799703619,598.920775137363,608.818663943607,589.080154421781,515.899802086827,433.320945940138,342.518685383556,245.502470157893,143.258591389699,36.8739415698628,0,0,0,0,0,0,0
"2335",5992222,59500102,999.768521402988,1009.64,666,156,0,0,0,0,3,0,0,6,0,0,0,0,0,999.768521402989,1011.43302931423,1018.25243112955,1020.22672684896,1017.35591647244,1009.64,997.078977431643,979.672848767364,957.421614007165,930.325273151046,898.383826199006,861.597273151046,819.965614007166,773.488848767365,722.166977431644,666.000000000003,762.438856396013,691.577375708402,612.734722711755,523.772173553077,423.481079817545,311.578334048867,189.24504600586,58.3479326017805,0,0,0,0,0,0,0,0,0,0,0
"2336",5992223,59500058,0.708533500329757,11.5853,669,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70853350032867,-14.0670776530884,-20.3672065798301,-18.1918532798963,-7.54101775328697,11.5852999999978,39.187099979958,75.2643821865936,119.817146619905,172.845393279891,234.349122166553,304.328333279891,382.783026619903,469.713202186592,565.118859979956,668.999999999995,727.16861609175,740.156400411027,754.755091387317,769.233463999579,781.945975585045,791.112835825502,796.063893264388,797.029978420812,793.894710158027,788.440133483636,780.789915374006,772.297469252999,762.27018450676,750.986930305722,739.207346285405,727.226665920049,714.627976919266,701.464883202121,687.770500054272
"2337",5992224,59500067,295.64007803412,538.418,669,123,39,0,0,0,0,0,0,3,0,0,0,0,0,295.640078034117,353.661631598807,406.95020057774,455.505784970916,499.328384778335,538.417999999998,572.774630635903,602.398276686052,627.288938150444,647.44661502908,662.871307321958,673.56301502908,679.521738150445,680.747476686053,677.240230635904,668.999999999999,826.760829318305,818.814534268884,805.612755604807,784.841951682777,754.574891762067,713.187193999991,660.572607901416,597.68921771245,525.391463085854,445.848268231252,359.920973850513,268.957579790772,173.29440400648,73.7623527898378,0,0,0,0,0
"2338",5992225,59500085,696.718805384262,681.515,669,138,0,0,0,0,0,0,0,0,0,0,0,0,0,696.718805384262,693.200908020249,689.921578799816,686.880817722964,684.078624789692,681.515,679.189943353888,677.103454851357,675.255534492406,673.646182277036,672.275398205246,671.143182277036,670.249534492406,669.594454851357,669.177943353888,669,829.807705284305,844.628701768768,861.287982699095,877.809962454223,892.316831746564,902.777584717008,908.427478732201,909.529925797464,905.952117700387,899.727633236522,890.997594846532,881.306448842737,869.863823347938,856.987949624145,843.545689646482,829.873948785121,815.496968016177,800.475917395796,784.848586397553
"2339",5992226,59500069,774.968599011102,844.781,669,165,0,0,0,0,9,0,0,0,0,0,6,0,0,774.968599011102,797.341900594956,815.509791485773,829.472271683553,839.229341188295,844.781,846.127248118668,843.268085544299,836.203512276892,824.933528316448,809.458133662967,789.777328316448,765.891112276892,737.799485544299,705.502448118669,669.000000000002,729.546905271425,742.577167643565,698.846928436669,641.163425958869,573.796064402184,495.879479283015,408.007838019065,311.608490125695,208.083160677503,99.310340309379,0,0,0,0,0,0,0,0,0
"2340",5992227,59500082,473.171296177069,580.522,666,171,0,0,0,0,0,0,3,18,0,0,0,0,0,473.171296177068,498.087394478877,521.280514012075,542.750654776661,562.497816772636,580.521999999999,596.823204458751,611.401430148891,624.25667707042,635.388945223337,644.798234607643,652.484545223337,658.44787707042,662.688230148891,665.205604458751,665.999999999999,333.545845765967,339.5032281523,346.199519247663,352.840621368141,358.671738573629,362.876496705732,365.147503188059,365.590637948623,364.152517984048,361.650551658915,358.141463927124,354.24605361737,349.646626335434,344.471096915992,339.067905375707,333.572472711421,327.793564923989,321.75576965942,315.474276607861
"2341",5992228,59500071,815.194943650658,607.3,669,171,0,0,0,0,0,3,0,0,0,0,3,0,0,815.194943650661,760.88289125916,712.937370698344,671.358381968212,636.145925068765,607.300000000001,584.820606761922,568.707745354527,558.961415777817,555.58161803179,558.568352116448,567.92161803179,583.641415777816,605.727745354526,634.180606761921,669,613.026646556936,623.975768522957,636.282936867783,648.488672942863,659.205731097049,666.933690566568,671.107592013229,671.92203302543,669.278900543281,664.680516106585,658.231134973525,651.071728404789,642.618403266671,633.106255283323,623.17568522019,613.07558443845,602.45448240207,591.357568947381,579.812761330529
"2342",5992229,59500090,96.7311235002106,335.354,669,165,0,6,0,0,0,0,0,0,0,0,0,0,0,96.7311235002073,148.285025546821,197.924264220106,245.648839520064,291.458751446695,335.353999999997,377.334585179972,417.400506986619,455.551765419938,491.78836047993,526.110292166594,558.51756047993,589.010165419938,617.588106986619,644.251385179972,668.999999999998,323.057925453907,328.82798560994,335.313720440591,341.746001642722,347.393766864194,351.466311782489,353.665909385596,354.09511034331,352.702210212167,350.278915001589,346.880166022225,343.107241881705,338.652437677604,333.639646127073,328.406350998404,323.083715149293,317.486517687847,311.638573133156,305.554593555087
"2343",5992230,59500022,276.738038850405,796.861,666,183,0,0,0,0,0,0,3,0,0,0,0,0,0,276.738038850399,411.992149008297,531.631500202206,635.656092432125,724.065925698055,796.860999999996,854.041315337948,895.606871711911,921.557669121884,931.893707567869,926.614987049864,905.721507567869,869.213269121886,817.090271711914,749.352515337952,666.000000000001,327.624408164036,333.476029172978,340.053441048621,235.225388223384,20.3495741703894,0,0,0,0,0,0,0,0,0,0,0,0,0,0
