,sal.code,wd.code16,House,Traditional,Flat,Cluster.house,Townhouse,Semi,House.in.backyard,BYS,Informal.dwelling.not.BYS,Flatlet,Caravan,Other,Unspecified,Not.applicable,areah,x1996,x1997,x1998,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,pred2012,pred2013,pred2014,pred2015,pred2016,pred2017,pred2018,pred2019,pred2020,pred2021,pred2022,pred2023,pred2024,pred2025,pred2026,pred2027,pred2028,pred2029,pred2030
341,5990341,59500064,30,0,45,18,3,0,6,0,0,0,0,0,0,0,4.94698,369.1121372,374.5752025,379.2533679,383.1837132,386.3583913,388.7373679,389.9580799,389.9888905,389.1680664,387.695945,385.6258112,382.9616156,379.5524183,375.189447,369.6938548,363.0140255,450.9503876,444.6481334,437.120684,427.1297792,413.7968543,396.0948637,373.8136724,347.2658868,316.6918989,283.1465984,246.8746873,208.4791274,167.8752594,125.321661,81.10529413,35.32352341,0,0,0
342,5990342,59500034,81,0,0,0,3,3,3,0,3,0,0,0,0,0,22.2198,690.2058497,687.1594515,681.771933,674.0612445,663.9599312,651.343747,635.5643272,616.5604889,594.8421388,570.6389972,543.9136508,514.5281815,482.1193934,446.2689371,406.628807,363.0140255,400.3190692,338.1683294,268.8897263,191.0288115,103.8864421,7.396969326,0,0,0,0,0,0,0,0,0,0,0,0,0
343,5990343,59500009,96,0,0,39,0,0,0,3,0,0,0,0,0,0,56.9456,427.307112,382.1221701,343.6899176,311.6213331,285.5830127,265.3057678,250.3895654,240.7314166,236.4725134,237.6896872,244.4253604,256.7585606,274.7290043,298.3689221,327.7389961,363.0140255,513.5601931,581.2248008,660.2274454,749.9755428,849.6771164,957.2018688,1070.930463,1189.901961,1312.496766,1440.407228,1572.849751,1711.715769,1854.801287,2001.855878,2154.279674,2312.550847,2474.991163,2641.330558,2810.995648
344,5990344,59500102,123,0,0,0,0,0,0,0,12,0,0,0,0,0,10.1576,221.2389886,306.1468316,378.9880153,440.4578551,491.0597482,531.1213333,560.3893852,578.9472294,587.4056177,586.1505474,575.269814,554.6793249,523.9748465,482.6160154,430.0871551,366.0141414,368.2506119,259.031685,130.418893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,5990345,59500064,60,0,72,3,6,0,0,0,0,0,0,0,0,0,2.24077,586.6280768,498.7577692,422.9928797,358.6038581,304.9811868,261.6463577,228.0687514,204.0790248,189.7248058,184.9965954,189.8961801,204.5111403,228.9553423,263.3755507,307.9601435,363.0140255,406.5089653,415.3810968,425.4996851,435.8983115,445.8172228,454.1395888,460.4079415,464.6513456,466.7264861,467.6802456,467.5334462,467.0602434,465.7869847,463.8466438,461.7029782,459.5145064,457.0004277,454.2000339,451.0986139
346,5990346,59500026,6,6,213,0,0,0,15,0,0,0,0,0,0,0,1.32883,250.689987,269.426549,286.3382323,301.556401,315.1601551,327.1846641,337.3698137,345.7084856,352.5227397,358.0286664,362.3118506,365.4077625,367.1964543,367.4888662,366.1127736,363.0140255,241.0695022,246.3308875,252.3314515,258.4980847,264.3802354,269.3155967,273.0328793,275.549319,276.7799268,277.3455289,247.1737761,203.5198151,156.8072271,107.3281831,55.38486703,1.08527952,0,0,0
347,5990347,59500083,90,0,0,0,3,0,0,0,0,0,0,0,0,0,11.0138,799.8435962,865.4663459,916.7906285,954.4444743,978.7991546,990.0135092,987.3209457,970.7465378,941.1908097,899.0802487,844.337029,776.6262457,695.1769059,599.0914778,487.5695599,360.0139096,274.0059841,69.52673745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,5990348,59500066,63,0,18,0,3,0,0,0,0,3,0,0,0,0,7.26257,248.6659,248.8505655,250.2112837,252.7188125,256.3330653,261.0086222,266.4923551,272.7521761,280.0231873,288.4735274,298.1927818,309.257142,321.6361676,335.248806,350.0270917,366.0141414,486.7175172,516.5637164,549.8314194,585.4751717,622.549605,659.4257837,695.2048311,706.6280695,709.7838819,711.2343314,711.0110832,710.2914503,708.355116,705.4043027,702.1442793,698.8161159,694.9927791,690.7340228,686.0174746
349,5990349,59500039,9,0,0,0,0,0,0,117,0,0,0,0,0,0,1.02357,353.5741816,361.3838351,368.1757948,374.0047183,378.8780447,382.7682421,385.326013,386.5237507,386.7004069,386.0599729,384.6599032,382.5070421,379.4516932,375.2842335,369.8233564,363.0140255,47.4207044,48.45566982,49.63603884,50.84907528,52.00615126,52.9769846,53.70821005,54.20321811,54.44529056,54.55654998,54.53942531,54.48422453,54.33569442,54.1093468,49.47871843,0,0,0,0
350,5990350,59500054,3,0,0,0,0,0,93,0,0,0,0,0,0,0,2.10647,331.4441574,295.3027823,265.3431567,241.2379397,222.7132058,209.5532338,201.4414195,198.2923349,200.2261469,207.3279757,219.6665833,237.350005,260.4509835,289.027373,323.1545771,363.0140255,21.47438895,21.94307136,22.47759955,23.02692113,23.55090111,23.99054141,24.32167567,24.54583927,24.65546138,24.70584503,24.69809015,24.67309257,24.60583095,24.5033298,24.39008775,24.27447875,24.14166912,23.99373451,23.82989778
351,5990351,59500018,90,0,0,21,39,3,0,0,0,0,0,0,0,0,22.481,308.1654814,341.61011,370.3666204,394.7026486,414.7906625,430.7214568,442.1790229,449.1727682,452.1308987,451.3173479,446.7996228,438.5544847,426.3482577,409.8621525,388.8043586,363.0140255,422.0164726,381.1649202,332.8885629,275.6224538,208.4249404,130.7724213,43.11358351,0,0,0,0,0,0,0,0,0,0,0,0
352,5990352,59500035,57,3,0,42,6,0,0,0,0,0,0,0,0,0,22.9618,25.31043406,32.6691469,42.08661797,53.55771136,67.09184719,82.70764919,100.3504292,120.0103384,141.8089153,165.8971516,192.4275807,221.5725036,253.4432722,288.0974887,325.5779514,366.0141414,520.1027401,586.6489001,660.3741456,740.3659049,825.5526203,913.6692445,1003.122149,1093.079224,1182.208852,1272.227053,1362.583835,1455.047039,1547.836289,1640.897422,1735.504732,1832.111473,1929.456764,2027.435177,2125.712577
353,5990353,59500035,84,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3828,378.2362125,303.5086937,240.6831602,189.1080606,148.2614054,117.7525316,97.23408342,86.56613467,85.7203266,94.68808192,113.529186,142.4076524,181.5395481,231.1643621,291.5383306,363.0140255,566.3863784,695.4016796,845.2199132,1015.711689,1206.091572,1413.279952,1634.490368,1691.298591,1698.851958,1702.323576,1701.789237,1700.066811,1695.432238,1688.369532,1680.566739,1672.600853,1663.449782,1653.256543,1641.96759
