,b_cat,house,tradit,flat,cluster,townhouse,semi,backyardhouse,backyardshack,informalsetl,flatlet,caravan,otherdwltyp,unspecdwel,pop12,pop13,pop14,pop15,pop16,pop17,x,y,sd16sd12
4964,4964,0.335901878,0.022902401,0.114512004,0,0,0,0,0,0.015268267,0,0,0.038170668,0,0.877925364,0,0,0,0,0,30.57083406,-29.74583357,-0.098706718
4965,4965,0.406665633,0.027727202,0.138636011,0,0,0,0,0,0.018484802,0,0,0.046212004,0,1.062876087,0,0,0,0,0,30.57500072,-29.74583357,-0.070516877
4966,4966,0.601866503,0.041036352,0.205181762,0,0,0,0,0,0.027357568,0,0,0.068393921,0,1.573060178,0,0,0,0,0,30.57916739,-29.74583357,-0.061055963
4967,4967,0.601866503,0.041036352,0.205181762,0,0,0,0,0,0.027357568,0,0,0.068393921,0,1.573060178,0,0,0,0,0,30.58333406,-29.74583357,-0.077366932
4968,4968,0.601866503,0.041036352,0.205181762,0,0,0,0,0,0.027357568,0,0,0.068393921,0,1.573060178,0,0,0,0,0,30.58750073,-29.74583357,-0.111052732
4969,4969,0.601866503,0.041036352,0.205181762,0,0,0,0,0,0.027357568,0,0,0.068393921,0,1.573060178,0,0,0,0,0,30.59166739,-29.74583357,-0.125419391
4970,4970,0.601866503,0.041036352,0.205181762,0,0,0,0,0,0.027357568,0,0,0.068393921,0,1.573060178,0,0,0,0,0,30.59583406,-29.74583357,-0.125472118
4971,4971,0.601866503,0.041036352,0.205181762,0,0,0,0,0,0.027357568,0,0,0.068393921,0,1.573060178,0,0,0,0,0,30.60000073,-29.74583357,-0.118880005
4972,4972,0.601866503,0.041036352,0.205181762,0,0,0,0,0,0.027357568,0,0,0.068393921,0,1.573060178,0,0,0,0,0,30.60416739,-29.74583357,-0.112582941
4973,4973,0.601866503,0.041036352,0.205181762,0,0,0,0,0,0.027357568,0,0,0.068393921,0,1.573060178,0,0,0,0,0,30.60833406,-29.74583357,-0.105632814
4974,4974,0.601866503,0.041036352,0.205181762,0,0,0,0,0,0.027357568,0,0,0.068393921,0,1.573060178,0,0,0,0,0,30.61250073,-29.74583357,-0.092179144
4975,4975,0.601866503,0.041036352,0.205181762,0,0,0,0,0,0.027357568,0,0,0.068393921,0,1.573060178,0,0,0,0,0,30.61666739,-29.74583357,-0.092314127
4976,4976,0.601866503,0.041036352,0.205181762,0,0,0,0,0,0.027357568,0,0,0.068393921,0,1.573060178,0,0,0,0,0,30.62083406,-29.74583357,-0.100599524
4977,4977,0.601866503,0.041036352,0.205181762,0,0,0,0,0,0.027357568,0,0,0.068393921,0,1.573060178,0,0,0,0,0,30.62500073,-29.74583357,-0.090204378
4978,4978,0.601866503,0.041036352,0.205181762,0,0,0,0,0,0.027357568,0,0,0.068393921,0,1.573060178,0,0,0,0,0,30.62916739,-29.74583357,-0.056554779
4979,4979,0.601866503,0.041036352,0.205181762,0,0,0,0,0,0.027357568,0,0,0.068393921,0,1.573060178,0,0,0,0,0,30.63333406,-29.74583357,-0.06085279
4980,4980,0.849295887,0.099101387,0.132992262,0,0,0,0,0,0.017732302,0,0,0.044330754,0,1.019607345,0,0,0,0,0,30.63750073,-29.74583357,-0.081604094
4981,4981,1.305126727,0.206072641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.64166739,-29.74583357,-0.110130145
4982,4982,1.305126727,0.206072641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.64583406,-29.74583357,-0.106366594
4983,4983,1.305126727,0.206072641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65000073,-29.74583357,-0.113090656
4984,4984,1.305126727,0.206072641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65416739,-29.74583357,-0.117238778
4985,4985,1.305126727,0.206072641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65833406,-29.74583357,-0.10285102
4986,4986,2.030693306,0.172492132,0,0.042647415,0.170589661,0.085294831,0,0,0,0,0.298531908,1.322069877,0,7.747613793,7.562808326,7.321139639,7.008391926,6.581917773,6.041717178,30.66250073,-29.74583357,-0.099833201
4987,4987,2.47859626,0.151762409,0,0.068974288,0.275897152,0.137948576,0,0,0,0,0.482820017,2.138202932,0,12.53032901,12.23144043,11.84058613,11.33477468,10.6450318,9.771357484,30.66666739,-29.74583357,-0.110902318
4988,4988,1.305126727,0.206072641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.67083406,-29.74583357,-0.113354567
4989,4989,1.305126727,0.206072641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.67500073,-29.74583357,-0.107168937
4990,4990,8.173336748,0.146456477,0,0,0,0.139341905,0.27868381,0,0,0.27868381,0,0.418025715,0,39.85178482,47.88716801,57.17662834,67.62727121,79.28554392,91.87276267,30.67916739,-29.74583357,-0.093870735
4991,4991,20.66985868,0.037986523,0,0,0,0.392870719,0.785741437,0,0,0.785741437,0,1.178612156,0,112.3610255,135.0165703,161.2079515,190.6732554,223.5434388,259.0327604,30.68333406,-29.74583357,-0.10176594
4992,4992,10.85973856,0.133082475,0,0,0,0.15855955,0.317119099,0.004482784,0,0.394342102,0,0.475678649,0,54.18419874,63.51165207,74.31463483,86.43446438,99.92474105,114.4661043,30.68750073,-29.74583357,-0.105616129
4993,4993,5.106399461,0.165597917,0,0,0,0,0,0.021348082,0,0.165597917,0,0,0,19.50580123,19.77488211,20.14012955,20.4840289,20.81013819,21.10778337,30.69166739,-29.74583357,-0.110695433
4994,4994,4.630844983,0.141722799,0,0,0,0,0,0.030118482,0,0.141722799,0,0,0,17.25634047,17.36024506,17.53855253,17.68674151,17.80983176,17.89276404,30.69583406,-29.74583357,-0.102303408
4995,4995,6.060510629,0.213498885,0,0,0,0,0,0.003751902,0,0.213498885,0,0,0,24.01892418,24.61940055,25.35970823,26.09626402,26.82969322,27.55811988,30.70000073,-29.74583357,-0.097383744
4996,4996,4.360993492,0.128174962,0,0,0,0,0,0.035095207,0,0.128174962,0,0,0,15.97989311,15.99006913,16.06229832,16.0994323,16.10732028,16.06841464,30.70416739,-29.74583357,-0.112257726
4997,4997,2.499396392,0.034713839,0,0,0,0,0,0.069427678,0,0.034713839,0,0,0,7.174193348,6.53777297,5.878210033,5.149219419,4.362372407,3.482955158,30.70833406,-29.74583357,-0.127520621
4998,4998,2.697442159,0.044475668,0,0.011604735,0.017407102,0,0,0.077346602,0,0.050278036,0.005802367,0.034814205,0,8.274864087,8.037779456,7.842606911,7.647452663,7.457471324,7.235923713,30.71250073,-29.74583357,-0.125470303
4999,4999,5.507645225,0.182992827,0,0.176272146,0.264408219,0,0,0.189713509,0,0.2711289,0.088136073,0.528816437,0,23.89301812,29.32237822,35.71675466,43.09656523,51.37591409,60.48932316,30.71666739,-29.74583357,-0.126016216
5000,5000,5.109951362,0.163390175,0,0.152968765,0.229453147,0,0,0.173811586,0,0.239874558,0.076484382,0.458906294,0,21.68277049,26.31022738,31.77206487,38.07988253,45.1606698,52.95301566,30.72083406,-29.74583357,-0.104279302
5001,5001,2.534259686,0.036432279,0,0.00204286,0.00306429,0,0,0.070821698,0,0.037453709,0.00102143,0.006128581,0,7.367951752,6.801829167,6.224016033,5.58900027,4.907223585,4.143615608,30.72500073,-29.74583357,-0.076055972
5002,5002,4.090243494,0.099062161,0.410188597,0.307641448,0.136729532,0.034182383,0.034182383,0.06139479,0.034182383,0.099062161,0,0,0,16.63302557,17.41474706,18.33552142,19.34302464,20.44748921,21.54985294,30.72916739,-29.74583357,-0.063487358
5003,5003,10.36552753,0.352891716,2.028225982,1.521169487,0.676075327,0.169018832,0.169018832,0.029708105,0.169018832,0.352891716,0,0,0,53.9445059,60.32025566,67.47485726,75.3321657,83.89713232,92.81686541,30.73333406,-29.74583357,-0.039969711
5004,5004,3.126103767,0.060063586,0.161592061,0.121194046,0.05386402,0.013466005,0.013466005,0.066263152,0.013466005,0.060063586,0,0,0,10.90045995,10.82271058,10.78571486,10.74080867,10.69903588,10.60033289,30.73750073,-29.74583357,-0.047521313
5005,5005,5.223123589,0.144886135,0.702293682,0.526720262,0.234097894,0.058524474,0.058524474,0.055674376,0.058524474,0.144886135,0,0,0,23.36888541,25.16049959,27.20666985,29.45077178,31.90208446,34.41572174,30.74166739,-29.74583357,-0.057614523
5006,5006,6.318899352,0.189209271,0.984831663,0.738623747,0.328277221,0.082069305,0.082069305,0.050141321,0.082069305,0.189209271,0,0,0,29.88413074,32.6525613,35.78726818,39.22746739,42.98151583,46.86020422,30.74583406,-29.74583357,-0.076312426
5007,5007,3.050995989,5.154621755,0.15883974,0.119129805,0.05294658,0.013236645,0.205584592,0.061855737,0.013236645,0.057401159,0,0.096173974,0,19.51251714,19.65849553,19.87768434,20.1244342,20.28082244,15.96161908,30.75000073,-29.74583357,-0.087240478
5008,5008,6.42161182,42.84288818,0,0,0,0,1.551698112,0.006159775,0,0.003079888,0,0.908142004,0,121.8794363,111.3360116,98.57968157,83.42994919,80.81672468,46.34272605,30.75416739,-29.74583357,-0.090830477
5009,5009,13.80523973,4.377271135,0,0,0,0,0,0,0,0,0,0.336713164,0,120.9922637,90.35136573,53.42515539,9.764681762,0,0,30.75833406,-29.74583357,-0.071986153
5010,5010,72.22038236,11.63066771,0.580846761,0,0.255786648,0,1.373171456,0.625155476,0.221543575,0.044308715,0.211477934,2.664503825,0,370.1008852,356.6449107,338.1233544,313.5972237,297.5383717,280.1308909,30.76250073,-29.74583357,-0.067610697
5011,5011,73.62662861,12.91457991,0.611209289,0,0.400146295,0,1.222418578,1.011355584,2.000731476,0.400146295,0,2.444837157,0,400.3604215,399.6744426,396.0951056,388.611055,376.0071987,357.5389453,30.76666739,-29.74583357,-0.059948221
5012,5012,27.6023332,47.93901068,0,0,0.380876117,0,0,0.380876117,1.904380583,0.380876117,0,0.387515109,0,201.7078925,199.9548136,197.0635324,192.2656575,185.4386564,175.9388835,30.77083406,-29.74583357,-0.056920433
5013,5013,22.71704298,88.90436882,0,0,0.005399188,0,0,0.005399188,0.102584565,0,0,0.84617124,0,141.0810307,143.9100997,147.2528905,150.2740301,153.523235,155.890274,30.77500073,-29.74583357,-0.057629113
5014,5014,15.25975048,15.24086922,0,0.072863028,0.230117803,0,0,0.215545198,4.095358754,0,0,0.752813683,0,95.51945811,87.53287995,78.06151966,66.7812252,53.61908516,38.28335523,30.77916739,-29.74583357,-0.064816254
5015,5015,19.1672359,3.712505485,0,1.274248814,0.378628784,0,0,0.420675643,2.351801397,0,0,0.668233685,0,120.7813048,127.3275134,134.3450898,141.6677799,149.0151333,155.9934331,30.78333406,-29.74583357,-0.061241325
5016,5016,33.40503164,4.393456834,0,2.106940561,0.421388112,0,0,0.878691367,0,0,0,0.878691367,0,204.5979062,234.5274084,267.9651574,304.8409216,344.5689068,386.3760352,30.78750073,-29.74583357,-0.057463194
5017,5017,4.778714969,0,0,3.258214752,0.65164295,0,0,0,0,0,0,0,0,43.94969676,51.73320978,60.63899677,70.55845057,81.49157118,93.14873952,30.79166739,-29.74583357,-0.06212728
5018,5018,4.778714969,0,0,3.258214752,0.65164295,0,0,0,0,0,0,0,0,43.94969676,51.73320978,60.63899677,70.55845057,81.49157118,93.14873952,30.79583406,-29.74583357,-0.055991439
5019,5019,5.043237125,0.097593135,0.024398284,3.012709816,0.63669956,0,0.048796567,0.024398284,0,0,0,0,0,44.27833188,51.69901182,60.19725345,69.67507293,80.11620475,91.25122592,30.80000073,-29.74583357,-0.055142655
5020,5020,7.052558772,0.83891458,0.209728645,1.147844632,0.523189029,0,0.41945729,0.209728645,0,0,0,0,0,46.77466253,51.4392484,56.84175976,62.96490799,69.66887399,76.83764523,30.80416739,-29.74583357,-0.038280554
5021,5021,9.334856468,0.862050158,0.415708838,2.581768507,0.964881876,0,0.497757179,0.348976739,0.400392598,0,0,0,0,61.42903167,67.90752623,75.38335753,83.81203749,93.02764707,102.8471286,30.80833406,-29.74583357,-0.005577804
5022,5022,16.04120511,0.370649139,1.017871813,9.221678957,2.652549977,0,0.493727745,0.709468637,1.850419056,0,0,0,0,112.5631249,127.7491496,145.135494,164.5165557,185.727759,208.224211,30.81250073,-29.74583357,0.014937281
