"","gridnumber","pop11","pop12","pop13","pop14","pop15","pop16","pop17","threshold","night1206","night1606","x2016_0.5","x2016_0.6","x2016_0.7","x2016_0.8","x2016_0.9","x2016_1.0","x2016_1.1","x2016_1.2","x2016_1.3","x2016_1.4","x2016_1.5","x2016_1.6","x2016_1.7","x2016_1.8","x2016_1.9","x2016_2.0"
"1178",1223,241.740365492936,214.405649595851,168.464927193927,117.081802194427,59.2562745951695,36.4457632329487,36.4457632329487,0.280070655713579,10.990044593811,12.7713136672974,34.5347074026184,35.3691718565643,35.9036876307393,36.2722240359804,36.4705193667333,36.5774172787174,36.6725892471559,36.7333496053078,36.8291344785843,36.8324675527135,36.8637908894358,36.872682567364,36.8728041141963,36.8729256618299,36.873016823081,36.8730775974988
"1179",1224,340.15285294065,355.095146391827,349.425431889589,340.371045759501,327.713388301924,334.026541544638,351.705517253046,0.241240763159563,11.6080913543701,13.174280166626,316.511656052355,324.159548451039,329.058401969555,332.436049464249,334.253432272573,335.233154925387,336.105408944773,336.662279496961,337.540150808048,337.570698535008,337.857777879954,337.939270381782,337.94038436224,337.941498350043,337.942333845714,337.942890845123
"1180",1225,489.50720146022,562.213657891958,610.383914157967,657.98069134937,705.325084148908,751.292965484386,794.435296984607,0.176348230774281,12.9010257720947,16.5890331268311,711.898460482578,729.1001107866,740.118618987714,747.715628467604,751.803288427716,754.006881991811,755.968756954949,757.221270981558,759.195780365064,759.264488355365,759.910187620449,760.093480669799,760.095986236206,760.098491819133,760.100371017168,760.101623821021
"1181",1226,380.900156844019,450.456363311882,503.297267502578,558.661309605225,615.914957601721,673.926483952732,728.891508372854,-0.0113793361574959,14.4769153594971,16.0795211791992,638.588737610585,654.019000158165,663.902846848508,670.717533159376,674.3842549724,676.360927363781,678.120772799055,679.244305712092,681.015484503178,681.077117097186,681.656323685562,681.820741623645,681.822989172387,681.825236735946,681.82692241834,681.828046211234
"1182",1227,459.684522433255,516.760982910429,551.882642653655,588.245606739391,634.587014568362,711.681046325436,746.749417634242,-0.0265478368706823,14.1941165924072,14.6555643081665,674.36361647158,690.658309819331,701.095867211417,708.292324391216,712.164462493241,714.251871593844,716.110306705938,717.296781934573,719.167185317262,719.232270678998,719.843925452433,720.017554376352,720.019927836779,720.022301312854,720.024081430179,720.025268179953
"1183",1228,499.643453383314,539.146792107986,553.110883891966,566.953370967469,587.190899078622,630.551967379843,672.183814291012,0.00925165589617991,15.7081823348999,15.4242315292358,597.488590276572,611.92574720428,621.173460603704,627.549547554897,630.980275843651,632.829727816424,634.476308011623,635.527529332644,637.184713458648,637.242379323296,637.784307653042,637.93814350428,637.940246398757,637.942349307098,637.943926497452,637.944977962021
"1184",1229,629.009259785042,665.465119817023,669.416619494222,672.797899275374,674.741347426068,677.120977647886,682.082841827354,-0.0168010719759704,18.0804672241211,17.2484569549561,641.615726079904,657.119129953127,667.049827281764,673.896816036553,677.580918557996,679.566960617496,681.335147934684,682.464006530704,684.243580925191,684.305505665208,684.887457763427,685.052655062581,685.054913264978,685.057171482263,685.058865154997,685.059994274806
"1185",1230,384.371792352795,410.244369836417,416.690671848583,422.892954325482,428.647376251793,433.710527415169,437.974802765873,0.00412102842428019,19.362340927124,18.6359214782715,410.968651307521,420.898914425263,427.259739326841,431.64538266396,434.005129445365,435.277232034901,436.409793983536,437.132852156622,438.272707772806,438.312371898626,438.685124715007,438.790937132741,438.792383559872,438.793829996538,438.794914830296,438.795638055781
"1186",1231,417.694431977632,464.588124667169,493.035242173513,524.838556534381,558.104866645893,592.545820614474,628.503666877264,-0.0112522556409044,21.425365447998,21.2731018066406,561.475319004031,575.042284839719,583.732597785438,589.724369868084,592.948313039036,594.686290388385,596.233623936525,597.22148351438,598.778781847668,598.832971936443,599.342235856747,599.486799343069,599.488775486826,599.490751643611,599.49223376975,599.493221857914
"1187",1232,439.268379650374,484.304393223774,506.887482901347,530.010130965643,552.026416736879,572.811490615639,591.816082422083,0.134481665482942,23.4892406463623,30.1033763885498,542.775770638411,555.890898031281,564.291786096261,570.084006340984,573.200578307517,574.880673519571,576.376474190767,577.331433786504,578.836867372551,578.889252697782,579.381555934355,579.521304833441,579.523215163092,579.525125505338,579.526558270288,579.527513450857
"1188",1233,543.77178399037,610.791860098785,649.759761366171,688.727662633558,726.978910696125,763.941830832791,797.496480775179,0.302843788782727,18.3334102630615,22.8593139648438,723.884074859488,741.375334368523,752.579351596048,760.30426530821,764.460745639071,766.701439188864,768.696344532132,769.969946046576,771.977698524944,772.047563291839,772.704133633101,772.89051262789,772.893060378337,772.895608145581,772.897518982037,772.898792878257
"1189",1234,606.08606454098,669.997633604691,702.722092835046,735.446552065401,767.62656053806,797.964213690695,825.359825212795,0.0352808525714787,15.3787336349487,17.5017948150635,756.122473315509,774.392711411217,786.095702969348,794.164648074022,798.506238526427,800.846722048102,802.930471110374,804.260792857411,806.357961205871,806.430937421506,807.116748323531,807.3114277638,807.314088979092,807.316750211929,807.318746148071,807.320076777648
"1190",1235,743.11205435984,803.748364442488,826.656964372626,849.538693509901,870.809213130738,890.59669388307,906.506467261739,0.113037003790242,14.3889455795288,17.5041923522949,843.897712894809,864.288869998505,877.350415129716,886.356051861356,891.201640218285,893.81382112907,896.13946430191,897.624217790081,899.964838040475,900.046285773671,900.811709725639,901.028988724993,901.031958870145,901.034929034879,901.03715667128,901.038641768333
"1191",1236,381.119958338249,403.832697648111,406.66014672341,409.660040241123,412.326374725374,412.96868921518,412.810404786138,0.187009906805596,13.394458770752,15.8745775222778,391.314424047945,400.769780752649,406.8264045971,411.002308260516,413.249202153096,414.460467514992,415.538865648812,416.227344177903,417.312687165806,417.350454388443,417.705380617464,417.806132646046,417.807509899025,417.808887161085,417.809920113588,417.810608751428
"1192",1237,350.282822085965,376.923203612258,385.549684153041,394.989404940338,405.270167699569,414.37807155438,423.47207454648,0.181250737674953,12.4172334671021,13.6262817382812,392.649904564338,402.137530574436,408.214824505759,412.404979721478,414.65954182875,415.874941005276,416.95701950355,417.647847676827,418.73689473063,418.7747908455,419.130928369158,419.232024244946,419.233406198224,419.234788160613,419.235824638383,419.236515626411
"1193",1238,374.925622638388,402.379000381852,410.364556632004,419.278880494589,428.958080711302,437.803945701846,447.193987893523,-0.0317515754323187,9.93407344818115,11.1289834976196,414.847428708981,424.871414985531,431.292274207986,435.719309836738,438.101328225624,439.385437090482,440.528688311104,441.258570804471,442.409184531257,442.449223012431,442.825493920024,442.932305009588,442.933765088292,442.935225176622,442.936320249187,442.937050300572
"1194",1239,2071.97131770599,1818.20593062381,1421.97270384952,987.998941650914,515.040611107665,161.021532863069,161.552943806208,-0.166713446046224,18.5071315765381,15.5575695037842,152.578270549701,156.265029546495,158.62658111415,160.254816926046,161.130908281668,161.603195431687,162.023676027624,162.292122210089,162.715310689405,162.73003659052,162.868426659653,162.907711105436,162.908248113184,162.908785124473,162.909187885263,162.909456393562
"1195",1240,2484.0000669244,2145.000057791,1632.00004396966,1070.00002882814,458.000012339523,0,0,-0.236338846650791,20.79905128479,18.2865219116211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1196",1241,2484.0000669244,2145.000057791,1632.00004396966,1070.00002882814,458.000012339523,0,0,-0.309302216667334,17.7298927307129,11.7675285339355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
