Indicator,Region,Type,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
85,Mangaung Municipality,City,0.73,0.74,0.73,0.73,0.74,0.74,0.74,0.75,0.77,0.78,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.86,,,,
85,Msunduzi Municipality,City,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.85,0.86,0.86,0.86,,,,
86,Western Cape,Province,,,,,,,,,,,,,,75.7,76.8,82.9,82.8,85.1,,,,
86,Eastern Cape,Province,,,,,,,,,,,,,,51,58.3,58.1,61.6,64.9,,,,
86,Northern Cape,Province,,,,,,,,,,,,,,61.3,72.3,68.8,74.6,74.5,,,,
86,Free State,Province,,,,,,,,,,,,,,69.4,70.7,75.7,81.1,87.4,,,,
86,KwaZulu-Natal,Province,,,,,,,,,,,,,,61.1,70.7,68.1,73.1,77.4,,,,
86,North West,Province,,,,,,,,,,,,,,67.5,75.7,77.8,79.5,87.2,,,,
86,Gauteng,Province,,,,,,,,,,,,,,71.8,78.6,81.1,83.9,87,,,,
86,Mpumalanga,Province,,,,,,,,,,,,,,47.9,56.8,64.8,70,77.6,,,,
86,Limpopo,Province,,,,,,,,,,,,,,48.9,57.9,63.9,66.9,71.8,,,,
87,Western Cape,Province,,,,,,,"11,874","10,284","9,515","10,021",,"10,297","4,042","9,958","9,266",,,,,,,
87,Eastern Cape,Province,,,,,,,"16,957","18,998","16,570","13,421",,"13,942","1,488","14,546","13,477",,,,,,,
87,Northern Cape,Province,,,,,,,"1,856","1,859","1,618","1,988",,"1,937",335,"1,958","1,468",,,,,,,
87,Free State,Province,,,,,,,"5,278","6,875","5,046","4,970",,"4,939","2,199","4,958","4,848",,,,,,,
87,KwaZulu-Natal,Province,,,,,,,"27,790","28,322","27,014","23,833",,"24,025","3,865","23,142","23,928",,,,,,,
87,North West,Province,,,,,,,"7,518","5,652","7,026","4,849",,"4,690","2,165","4,507","4,615",,,,,,,
87,Gauteng,Province,,,,,,,"17,909","17,581","16,211","15,317",,"16,192","13,454","16,816","16,684",,,,,,,
87,Mpumalanga,Province,,,,,,,"4,568","4,263","4,949","5,040",,"5,079","1,058","5,169","4,744",,,,,,,
87,Limpopo,Province,,,,,,,"12,334","11,977","12,198","8,431",,"8,181",454,"7,866","7,744",,,,,,,
88,Western Cape,Province,,,9,,,,,13.6,,,32.1,30,28.4,27.7,27.4,26.5,25.6,,,,,
88,Eastern Cape,Province,,,20.5,,,,,11.6,,,86.2,82.1,76.7,71.1,27.7,65.3,63.4,,,,,
88,Northern Cape,Province,,,14.3,,,,,10.6,,,40.9,41.2,39.4,38.7,38.2,36.8,35.4,,,,,
88,Free State,Province,,,19,,,,,21.1,,,79,74.8,69.4,63.4,60.2,58,56.5,,,,,
88,KwaZulu-Natal,Province,,,23.6,,,,,3,,,85.6,81.6,73.8,66.8,64.5,62.7,61.3,,,,,
88,North West,Province,,,14,,,,,15.3,,,61,54.1,48.3,45.5,45.9,44.9,43.7,,,,,
88,Gauteng,Province,,,9.3,,,,,9.4,,,49.1,48.4,41.9,37.9,38,37.1,36.2,,,,,
88,Mpumalanga,Province,,,17.3,,,,,12.3,,,78.9,75,68.7,61.9,57.7,54.7,52.7,,,,,
88,Limpopo,Province,,,15.7,,,,,10.1,,,54.3,50.2,43.4,40.3,40.6,39.9,39.1,,,,,
89,City of Johannesburg,City,,,,,,,,,,,,6.4,,,,,,,,,,
89,City of Tshwane,City,,,,,,,,,,,,5.4,,,,,,,,,,
89,City of Cape Town,City,,,,,,,,,,,,3.1,,,,,,,,,,
89,EThekwini Municipality,City,,,,,,,,,,,,10,,,,,,,,,,
89,Ekurhuleni Municipality,City,,,,,,,,,,,,6.6,,,,,,,,,,
89,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,10.9,,,,,,,,,,
89,Buffalo City Municipality,City,,,,,,,,,,,,16.5,,,,,,,,,,
89,Mangaung Municipality,City,,,,,,,,,,,,10.8,,,,,,,,,,
89,Msunduzi Municipality,City,,,,,,,,,,,,13,,,,,,,,,,
90,City of Johannesburg,City,"561,885",,,,,"779,720",,,,,,,,,,"1,167,935",,,,,,
90,City of Tshwane,City,"355,441",,,,,"454,129",,,,,,,,,,"735,231",,,,,,
90,City of Cape Town,City,"516,693",,,,,"599,471",,,,,,,,,,"837,532",,,,,,
90,EThekwini Municipality,City,"452,281",,,,,"572,746",,,,,,,,,,"756,156",,,,,,
90,Ekurhuleni Municipality,City,"377,066",,,,,"521,750",,,,,,,,,,"786,257",,,,,,
90,Nelson Mandela Bay Municipality,City,"160,790",,,,,"196,148",,,,,,,,,,"282,628",,,,,,
90,Buffalo City Municipality,City,"99,351",,,,,"120,774",,,,,,,,,,"162,005",,,,,,
90,Mangaung Municipality,City,"108,350",,,,,"132,668",,,,,,,,,,"134,128",,,,,,
90,Msunduzi Municipality,City,"40,921",,,,,"46,348",,,,,,,,,,"52,276",,,,,,
91,City of Johannesburg,City,"155,467",,,,,"212,693",,,,,,,,,,"249,823",,,,,,
91,City of Tshwane,City,"91,373",,,,,"139,482",,,,,,,,,,"164,014",,,,,,
91,City of Cape Town,City,"125,204",,,,,"142,981",,,,,,,,,,"218,780",,,,,,
91,EThekwini Municipality,City,"139,807",,,,,"150,390",,,,,,,,,,"149,289",,,,,,
91,Ekurhuleni Municipality,City,"156,415",,,,,"213,334",,,,,,,,,,"218,259",,,,,,
91,Nelson Mandela Bay Municipality,City,"60,670",,,,,"59,795",,,,,,,,,,"38,861",,,,,,
91,Buffalo City Municipality,City,"42,535",,,,,"55,056",,,,,,,,,,"49,790",,,,,,
91,Mangaung Municipality,City,"34,778",,,,,"43,811",,,,,,,,,,"32,747",,,,,,
91,Msunduzi Municipality,City,"8,130",,,,,"15,424",,,,,,,,,,"12,418",,,,,,
92,City of Johannesburg,City,"3,127",,,,,"11,701",,,,,,,,,,"5,626",,,,,,
92,City of Tshwane,City,"6,199",,,,,"10,433",,,,,,,,,,"3,916",,,,,,
92,City of Cape Town,City,"2,850",,,,,"14,769",,,,,,,,,,"3,767",,,,,,
92,EThekwini Municipality,City,"46,268",,,,,"60,182",,,,,,,,,,"40,188",,,,,,
92,Ekurhuleni Municipality,City,"2,297",,,,,"8,091",,,,,,,,,,"2,500",,,,,,
92,Nelson Mandela Bay Municipality,City,"1,706",,,,,"4,070",,,,,,,,,,"1,112",,,,,,
92,Buffalo City Municipality,City,"17,470",,,,,"15,642",,,,,,,,,,"10,157",,,,,,
92,Mangaung Municipality,City,"8,877",,,,,"7,999",,,,,,,,,,"3,050",,,,,,
92,Msunduzi Municipality,City,"19,053",,,,,"17,910",,,,,,,,,,"33,043",,,,,,
93,City of Johannesburg,City,,,,,,"253,726",,,,,,,,,,"340,081",,,,,,
93,City of Tshwane,City,,,,,,"219,895",,,,,,,,,,"307,004",,,,,,
93,City of Cape Town,City,,,,,,"235,360",,,,,,,,,,"355,246",,,,,,
93,EThekwini Municipality,City,,,,,,"328,144",,,,,,,,,,"380,024",,,,,,
93,Ekurhuleni Municipality,City,,,,,,"213,499",,,,,,,,,,"277,633",,,,,,
93,Nelson Mandela Bay Municipality,City,,,,,,"101,818",,,,,,,,,,"153,065",,,,,,
93,Buffalo City Municipality,City,,,,,,"70,136",,,,,,,,,,"81,731",,,,,,
93,Mangaung Municipality,City,,,,,,"80,721",,,,,,,,,,"118,899",,,,,,
93,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
94,City of Johannesburg,City,,,,,,"221,568",,,,,,,,,,"236,694",,,,,,
94,City of Tshwane,City,,,,,,"154,678",,,,,,,,,,"166,840",,,,,,
94,City of Cape Town,City,,,,,,"225,626",,,,,,,,,,"223,435",,,,,,
94,EThekwini Municipality,City,,,,,,"147,290",,,,,,,,,,"141,819",,,,,,
94,Ekurhuleni Municipality,City,,,,,,"176,821",,,,,,,,,,"169,175",,,,,,
94,Nelson Mandela Bay Municipality,City,,,,,,"53,049",,,,,,,,,,"46,014",,,,,,
94,Buffalo City Municipality,City,,,,,,"29,029",,,,,,,,,,"29,713",,,,,,
94,Mangaung Municipality,City,,,,,,"29,007",,,,,,,,,,"25,859",,,,,,
94,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
95,City of Johannesburg,City,,,,,,"332,438",,,,,,,,,,"590,652",,,,,,
95,City of Tshwane,City,,,,,,"129,531",,,,,,,,,,"291,590",,,,,,
95,City of Cape Town,City,,,,,,"187,118",,,,,,,,,,"319,343",,,,,,
95,EThekwini Municipality,City,,,,,,"197,128",,,,,,,,,,"284,135",,,,,,
95,Ekurhuleni Municipality,City,,,,,,"206,518",,,,,,,,,,"378,364",,,,,,
95,Nelson Mandela Bay Municipality,City,,,,,,"40,416",,,,,,,,,,"62,518",,,,,,
95,Buffalo City Municipality,City,,,,,,"34,710",,,,,,,,,,"52,167",,,,,,
95,Mangaung Municipality,City,,,,,,"22,101",,,,,,,,,,"47,472",,,,,,
95,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
96,City of Johannesburg,City,,,,,,"199,179",,,,,,,,,,"227,609",,,,,,
96,City of Tshwane,City,,,,,,"101,920",,,,,,,,,,"121,713",,,,,,
96,City of Cape Town,City,,,,,,"111,381",,,,,,,,,,"139,226",,,,,,
96,EThekwini Municipality,City,,,,,,"114,185",,,,,,,,,,"122,241",,,,,,
96,Ekurhuleni Municipality,City,,,,,,"148,808",,,,,,,,,,"164,660",,,,,,
96,Nelson Mandela Bay Municipality,City,,,,,,"65,517",,,,,,,,,,"51,314",,,,,,
96,Buffalo City Municipality,City,,,,,,"58,083",,,,,,,,,,"51,525",,,,,,
96,Mangaung Municipality,City,,,,,,"53,184",,,,,,,,,,"33,774",,,,,,
96,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
97,City of Johannesburg,City,-0.10%,-0.10%,-0.10%,-0.10%,-0.10%,-2.31%,-2.31%,-2.31%,-2.31%,-2.31%,-2.31%,-1.39%,-1.39%,-1.39%,-1.39%,-1.39%,,,,,,
97,City of Tshwane,City,3.20%,3.20%,3.20%,3.20%,3.20%,3.41%,3.41%,3.41%,3.41%,3.41%,3.41%,-8.42%,-8.42%,-8.42%,-8.42%,-8.42%,,,,,,
97,City of Cape Town,City,-0.40%,-0.40%,-0.40%,-0.40%,-0.40%,-3.22%,-3.22%,-3.22%,-3.22%,-3.22%,-3.22%,4.42%,4.42%,4.42%,4.42%,4.42%,,,,,,
97,EThekwini Municipality,City,-2.50%,-2.50%,-2.50%,-2.50%,-2.50%,-2.01%,-2.01%,-2.01%,-2.01%,-2.01%,-2.01%,-1.49%,-1.49%,-1.49%,-1.49%,-1.49%,,,,,,
97,Ekurhuleni Municipality,City,-0.20%,-0.20%,-0.20%,-0.20%,-0.20%,-2.59%,-2.59%,-2.59%,-2.59%,-2.59%,-2.59%,0,0,0,0,0,,,,,,
97,Nelson Mandela Bay Municipality,City,-4%,-4%,-4%,-4%,-4%,-9.18%,-9.18%,-9.18%,-9.18%,-9.18%,-9.18%,-1.72%,-1.72%,-1.72%,-1.72%,-1.72%,,,,,,
97,Buffalo City Municipality,City,2.30%,2.30%,2.30%,2.30%,2.30%,-4.25%,-4.25%,-4.25%,-4.25%,-4.25%,-4.25%,-2.15%,-2.15%,-2.15%,-2.15%,-2.15%,,,,,,
97,Mangaung Municipality,City,1%,1%,1%,1%,1%,-5.54%,-5.54%,-5.54%,-5.54%,-5.54%,-5.54%,-4.06%,-4.06%,-4.06%,-4.06%,-4.06%,,,,,,
97,Msunduzi Municipality,City,3.90%,3.90%,3.90%,3.90%,3.90%,-9.62%,-9.62%,-9.62%,-9.62%,-9.62%,-9.62%,-5.40%,-5.40%,-5.40%,-5.40%,-5.40%,,,,,,
98,City of Johannesburg,City,,,,,,,,,,,,,,,,,2.7,,,,,
98,City of Tshwane,City,,,,,,,,,,,,,,,,,1.7,,,,,
98,City of Cape Town,City,,,,,,,,,,,,,,,,,3.1,,,,,
98,EThekwini Municipality,City,,,,,,,,,,,,,,,,,3.7,,,,,
98,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,2.7,,,,,
98,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,3,,,,,
98,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,3,,,,,
98,Mangaung Municipality,City,,,,,,,,,,,,,,,,,3.7,,,,,
98,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,3.9,,,,,
99,City of Johannesburg,City,,,,,,,,,,,,,,,,,4.29,,,,,
99,City of Tshwane,City,,,,,,,,,,,,,,,,,2.91,,,,,
99,City of Cape Town,City,,,,,,,,,,,,,,,,,4.69,,,,,
99,EThekwini Municipality,City,,,,,,,,,,,,,,,,,7.13,,,,,
99,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,3.84,,,,,
99,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,5.11,,,,,
99,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,4.66,,,,,
99,Mangaung Municipality,City,,,,,,,,,,,,,,,,,3.15,,,,,
99,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,4.89,,,,,
100,Western Cape,Province,,,,,,,,,,,,,,,,,,276,,,,
100,Eastern Cape,Province,,,,,,,,,,,,,,,,,,14,,,,
100,Northern Cape,Province,,,,,,,,,,,,,,,,,,,,,,
100,Free State,Province,,,,,,,,,,,,,,,,,,,,,,
100,KwaZulu-Natal,Province,,,,,,,,,,,,,,,,,,65,,,,
100,North West,Province,,,,,,,,,,,,,,,,,,,,,,
100,Gauteng,Province,,,,,,,,,,,,,,,,,,342,,,,
100,Mpumalanga,Province,,,,,,,,,,,,,,,,,,,,,,
100,Limpopo,Province,,,,,,,,,,,,,,,,,,,,,,
101,Western Cape,Province,,,,,,,,,,,,,,,,,,151,,,,
101,Eastern Cape,Province,,,,,,,,,,,,,,,,,,32,,,,
101,Northern Cape,Province,,,,,,,,,,,,,,,,,,10,,,,
101,Free State,Province,,,,,,,,,,,,,,,,,,43,,,,
101,KwaZulu-Natal,Province,,,,,,,,,,,,,,,,,,153,,,,
101,North West,Province,,,,,,,,,,,,,,,,,,117,,,,
101,Gauteng,Province,,,,,,,,,,,,,,,,,,231,,,,
101,Mpumalanga,Province,,,,,,,,,,,,,,,,,,214,,,,
101,Limpopo,Province,,,,,,,,,,,,,,,,,,100,,,,
102,Western Cape,Province,,,,,,,,,,,,,,,,,,314,,,,
102,Eastern Cape,Province,,,,,,,,,,,,,,,,,,317,,,,
102,Northern Cape,Province,,,,,,,,,,,,,,,,,,38,,,,
102,Free State,Province,,,,,,,,,,,,,,,,,,170,,,,
102,KwaZulu-Natal,Province,,,,,,,,,,,,,,,,,,803,,,,
102,North West,Province,,,,,,,,,,,,,,,,,,240,,,,
102,Gauteng,Province,,,,,,,,,,,,,,,,,,1392,,,,
102,Mpumalanga,Province,,,,,,,,,,,,,,,,,,202,,,,
102,Limpopo,Province,,,,,,,,,,,,,,,,,,175,,,,
103,Western Cape,Province,,,,,,,,,,,,,,,,,,711,,,,
103,Eastern Cape,Province,,,,,,,,,,,,,,,,,,273,,,,
103,Northern Cape,Province,,,,,,,,,,,,,,,,,,76,,,,
103,Free State,Province,,,,,,,,,,,,,,,,,,191,,,,
103,KwaZulu-Natal,Province,,,,,,,,,,,,,,,,,,570,,,,
103,North West,Province,,,,,,,,,,,,,,,,,,199,,,,
103,Gauteng,Province,,,,,,,,,,,,,,,,,,"1,774",,,,
103,Mpumalanga,Province,,,,,,,,,,,,,,,,,,253,,,,
103,Limpopo,Province,,,,,,,,,,,,,,,,,,228,,,,
104,Western Cape,Province,,,,,,,,,,,,,,,,,,227,,,,
104,Eastern Cape,Province,,,,,,,,,,,,,,,,,,93,,,,
104,Northern Cape,Province,,,,,,,,,,,,,,,,,,43,,,,
104,Free State,Province,,,,,,,,,,,,,,,,,,51,,,,
104,KwaZulu-Natal,Province,,,,,,,,,,,,,,,,,,161,,,,
104,North West,Province,,,,,,,,,,,,,,,,,,69,,,,
104,Gauteng,Province,,,,,,,,,,,,,,,,,,275,,,,
104,Mpumalanga,Province,,,,,,,,,,,,,,,,,,70,,,,
104,Limpopo,Province,,,,,,,,,,,,,,,,,,77,,,,
105,Western Cape,Province,,,,,,,,,,,,,,,,,,368,,,,
105,Eastern Cape,Province,,,,,,,,,,,,,,,,,,380,,,,
105,Northern Cape,Province,,,,,,,,,,,,,,,,,,10,,,,
105,Free State,Province,,,,,,,,,,,,,,,,,,241,,,,
105,KwaZulu-Natal,Province,,,,,,,,,,,,,,,,,,487,,,,
105,North West,Province,,,,,,,,,,,,,,,,,,232,,,,
105,Gauteng,Province,,,,,,,,,,,,,,,,,,578,,,,
105,Mpumalanga,Province,,,,,,,,,,,,,,,,,,264,,,,
105,Limpopo,Province,,,,,,,,,,,,,,,,,,320,,,,
106,Western Cape,Province,,,,,,,,,,,,,,,,,,29,,,,
106,Eastern Cape,Province,,,,,,,,,,,,,,,,,,6,,,,
106,Northern Cape,Province,,,,,,,,,,,,,,,,,,6,,,,
106,Free State,Province,,,,,,,,,,,,,,,,,,19,,,,
106,KwaZulu-Natal,Province,,,,,,,,,,,,,,,,,,20,,,,
106,North West,Province,,,,,,,,,,,,,,,,,,21,,,,
106,Gauteng,Province,,,,,,,,,,,,,,,,,,45,,,,
106,Mpumalanga,Province,,,,,,,,,,,,,,,,,,17,,,,
106,Limpopo,Province,,,,,,,,,,,,,,,,,,19,,,,
107,City of Johannesburg,City,,,,,,,,,,,,,,,,"547,926",,,,,,
107,City of Tshwane,City,,,,,,,,,,,,,,,,"401,766",,,,,,
107,City of Cape Town,City,,,,,,,,,,,,,,,,"488,934",,,,,,
107,EThekwini Municipality,City,,,,,,,,,,,,,,,,"311,796",,,,,,
107,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,"359,631",,,,,,
107,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,"115,326",,,,,,
107,Buffalo City Municipality,City,,,,,,,,,,,,,,,,"62,664",,,,,,
107,Mangaung Municipality,City,,,,,,,,,,,,,,,,"69,924",,,,,,
107,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
108,City of Johannesburg,City,,,,,,,,,,,68%,68%,64%,70%,,64%,57%,53%,52.90%,45.10%,,
108,City of Tshwane,City,,,,,,,,,,,67%,65%,60%,57%,,58%,63.30%,66.20%,67.50%,,,
108,City of Cape Town,City,,,,,,,,,,,72%,92%,90%,88%,,82%,94.80%,94.30%,97.6,,,
108,EThekwini Municipality,City,,,,,,,,,,,72%,70%,68%,74%,,57%,74.90%,76.50%,83.20%,,,
108,Ekurhuleni Municipality,City,,,,,,,,,,,72%,81%,71%,72%,,70%,80.40%,87.10%,89.20%,,,
108,Nelson Mandela Bay Municipality,City,,,,,,,,,,,78%,71%,79%,76%,62%,68.70%,67.10%,58.50%,,,,
108,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,72.90%,68.20%,64.90%,,,
108,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,82.50%,74.30%,,,
108,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
109,City of Johannesburg,City,,,,,,,,,,,,,,,,129060,,,,,,
109,City of Tshwane,City,,,,,,,,,,,,,,,,107592,,,,,,
109,City of Cape Town,City,,,,,,,,,,,,,,,,80205,,,,,,
109,EThekwini Municipality,City,,,,,,,,,,,,,,,,121266,,,,,,
109,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,104607,,,,,,
109,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,32055,,,,,,
109,Buffalo City Municipality,City,,,,,,,,,,,,,,,,27885,,,,,,
109,Mangaung Municipality,City,,,,,,,,,,,,,,,,28656,,,,,,
109,Msunduzi Municipality,City,,,,,,,,,,,,,,,,25371,,,,,,
110,City of Johannesburg,City,,,,,,,,,,,,,,,,664245,,,,,,
110,City of Tshwane,City,,,,,,,,,,,,,,,,449514,,,,,,
110,City of Cape Town,City,,,,,,,,,,,,,,,,647358,,,,,,
110,EThekwini Municipality,City,,,,,,,,,,,,,,,,642990,,,,,,
110,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,524187,,,,,,
110,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,219975,,,,,,
110,Buffalo City Municipality,City,,,,,,,,,,,,,,,,154701,,,,,,
110,Mangaung Municipality,City,,,,,,,,,,,,,,,,164232,,,,,,
110,Msunduzi Municipality,City,,,,,,,,,,,,,,,,126138,,,,,,
111,City of Johannesburg,City,,,,,,,,,,,,,,,,163188,,,,,,
111,City of Tshwane,City,,,,,,,,,,,,,,,,547086,,,,,,
111,City of Cape Town,City,,,,,,,,,,,,,,,,820890,,,,,,
111,EThekwini Municipality,City,,,,,,,,,,,,,,,,779040,,,,,,
111,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,642513,,,,,,
111,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,273723,,,,,,
111,Buffalo City Municipality,City,,,,,,,,,,,,,,,,191988,,,,,,
111,Mangaung Municipality,City,,,,,,,,,,,,,,,,199254,,,,,,
111,Msunduzi Municipality,City,,,,,,,,,,,,,,,,151908,,,,,,
112,City of Johannesburg,City,,,,,,,,,,,,,,,,1251084,,,,,,
112,City of Tshwane,City,,,,,,,,,,,,,,,,736752,,,,,,
112,City of Cape Town,City,,,,,,,,,,,,,,,,1194105,,,,,,
112,EThekwini Municipality,City,,,,,,,,,,,,,,,,998760,,,,,,
112,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,960915,,,,,,
112,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,383835,,,,,,
112,Buffalo City Municipality,City,,,,,,,,,,,,,,,,235605,,,,,,
112,Mangaung Municipality,City,,,,,,,,,,,,,,,,207879,,,,,,
112,Msunduzi Municipality,City,,,,,,,,,,,,,,,,178266,,,,,,
113,City of Johannesburg,City,,,,,,,,,,,,,,,,1124502,,,,,,
113,City of Tshwane,City,,,,,,,,,,,,,,,,715593,,,,,,
113,City of Cape Town,City,,,,,,,,,,,,,,,,784065,,,,,,
113,EThekwini Municipality,City,,,,,,,,,,,,,,,,895710,,,,,,
113,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,811245,,,,,,
113,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,243933,,,,,,
113,Buffalo City Municipality,City,,,,,,,,,,,,,,,,137634,,,,,,
113,Mangaung Municipality,City,,,,,,,,,,,,,,,,149832,,,,,,
113,Msunduzi Municipality,City,,,,,,,,,,,,,,,,140373,,,,,,
114,City of Johannesburg,City,,,,,,,,,,,,,,,,573066,,,,,,
114,City of Tshwane,City,,,,,,,,,,,,,,,,444633,,,,,,
114,City of Cape Town,City,,,,,,,,,,,,,,,,389706,,,,,,
114,EThekwini Municipality,City,,,,,,,,,,,,,,,,266604,,,,,,
114,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,289083,,,,,,
114,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,84012,,,,,,
114,Buffalo City Municipality,City,,,,,,,,,,,,,,,,62724,,,,,,
114,Mangaung Municipality,City,,,,,,,,,,,,,,,,62655,,,,,,
114,Msunduzi Municipality,City,,,,,,,,,,,,,,,,48633,,,,,,
115,City of Johannesburg,City,,,,,,,,,,,,,,,,20292,,,,,,
115,City of Tshwane,City,,,,,,,,,,,,,,,,11799,,,,,,
115,City of Cape Town,City,,,,,,,,,,,,,,,,13905,,,,,,
115,EThekwini Municipality,City,,,,,,,,,,,,,,,,9051,,,,,,
115,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,9924,,,,,,
115,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,3153,,,,,,
115,Buffalo City Municipality,City,,,,,,,,,,,,,,,,1503,,,,,,
115,Mangaung Municipality,City,,,,,,,,,,,,,,,,1842,,,,,,
115,Msunduzi Municipality,City,,,,,,,,,,,,,,,,1251,,,,,,
116,City of Johannesburg,City,,,,,,,,,,,,,,,,3925437,,,,,,
116,City of Tshwane,City,,,,,,,,,,,,,,,,3012969,,,,,,
116,City of Cape Town,City,,,,,,,,,,,,,,,,3930234,,,,,,
116,EThekwini Municipality,City,,,,,,,,,,,,,,,,3713421,,,,,,
116,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,3342474,,,,,,
116,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,1240686,,,,,,
116,Buffalo City Municipality,City,,,,,,,,,,,,,,,,812040,,,,,,
116,Mangaung Municipality,City,,,,,,,,,,,,,,,,814350,,,,,,
116,Msunduzi Municipality,City,,,,,,,,,,,,,,,,671940,,,,,,
117,City of Johannesburg,City,,,,,,,,,,,,,,40,546,,5,1,,,,
117,City of Tshwane,City,,,,,,,,,,,,,,66,69,,1,16,,,,
117,City of Cape Town,City,,,,,,,,,,,,,,75,24,,,,,,,
117,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,,,,
117,Ekurhuleni Municipality,City,,,,,,,,,,,,,,89,81,,34,98,,,,
117,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,3,,,,,,,,
117,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,3,3,,,,
117,Mangaung Municipality,City,,,,,,,,,,,,,,20,18,,3,,,,,
117,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
118,City of Johannesburg,City,,,,,,,,,,,,,,,,,83,211,,,,
118,City of Tshwane,City,,,,,,,,,,,,,,,,,0,0,,,,
118,City of Cape Town,City,,,,,,,,,,,,,,,,,182,215,,,,
118,EThekwini Municipality,City,,,,,,,,,,,,,,,,,0,284,,,,
118,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,214,232,,,,
118,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,0,0,,,,
118,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,77,73,,,,
118,Mangaung Municipality,City,,,,,,,,,,,,,,,,,157,264,,,,
118,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
119,City of Johannesburg,City,,,,,,,,,,,,,,,,,246,147,,,,
119,City of Tshwane,City,,,,,,,,,,,,,,,,,116,2057,,,,
119,City of Cape Town,City,,,,,,,,,,,,,,,,,407,471,,,,
119,EThekwini Municipality,City,,,,,,,,,,,,,,,,,0,1127,,,,
119,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,296,398,,,,
119,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,159,0,,,,
119,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,95,104,,,,
119,Mangaung Municipality,City,,,,,,,,,,,,,,,,,364,423,,,,
119,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
120,City of Johannesburg,City,,,,,,,,,,,,,,,,,"1,647","1,932",,,,
120,City of Tshwane,City,,,,,,,,,,,,,,,,,121,25,,,,
120,City of Cape Town,City,,,,,,,,,,,,,,,,,255,241,,,,
120,EThekwini Municipality,City,,,,,,,,,,,,,,,,,0,419,,,,
120,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,183,194,,,,
120,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,146,0,,,,
120,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,54,53,,,,
120,Mangaung Municipality,City,,,,,,,,,,,,,,,,,202,199,,,,
120,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
121,City of Johannesburg,City,,,,,,,,,,,,,,,,,159,25,,,,
121,City of Tshwane,City,,,,,,,,,,,,,,,,,17,27,,,,
121,City of Cape Town,City,,,,,,,,,,,,,,,,,29,57,,,,
